pt,no_reactions
Klebsiella test positive,6
Labelled drug-food interaction issue,4
Labile blood pressure,7
Laboratory test interference,5
Labyrinthitis,15
Lack of injection site rotation,13
Lack of satiety,2
Lactation disorder,35
Lactation puerperal increased,1
Lactose tolerance test abnormal,1
Langerhans' cell histiocytosis,3
Laparoscopic surgery,5
Laparotomy,4
Large intestine benign neoplasm,2
Laryngeal cancer,11
Laryngeal cancer stage II,1
Laryngeal dysplasia,1
Latent tuberculosis,30
Lateral medullary syndrome,3
Left atrial enlargement,1
Legal problem,5
Leiomyosarcoma,4
Leiomyosarcoma metastatic,2
Lens disorder,4
Lentigo,6
Leukaemia recurrent,8
Leukoplakia oral,7
Lichenification,2
Ligament operation,9
Light chain disease,3
Limb hypoplasia congenital,1
Limb prosthesis user,1
Limb traumatic amputation,1
Lip dry,25
Lip erythema,3
Lip injury,14
Lip operation,2
Lipids increased,26
Lipoedema,14
Liquid product physical issue,21
Listless,14
Liver iron concentration increased,2
Liver scan abnormal,5
Liver transplant rejection,8
Living alone,1
Living in residential institution,47
Long QT syndrome congenital,8
Loose associations,2
Loss of visual contrast sensitivity,3
Lower respiratory tract congestion,13
Lower respiratory tract infection bacterial,7
Lower respiratory tract infection viral,8
Lumbar puncture,5
Lumbar puncture abnormal,2
Lung lobectomy,4
Lung opacity,10
Lung operation,11
Lung squamous cell carcinoma stage IV,3
Lung volume reduction surgery,1
Lupus pleurisy,4
Lymph gland infection,7
Lymph node rupture,1
Lymphangioma,4
Lymphangitis,3
Lymphocyte percentage decreased,4
Macrocytosis,5
Macular hole,13
Magnesium deficiency,3
Magnetic resonance imaging head abnormal,5
Malabsorption from application site,1
Male orgasmic disorder,29
Male sexual dysfunction,24
Malignant melanoma stage I,6
Malignant melanoma stage III,10
Malignant neoplasm of eye,4
Malignant palate neoplasm,3
Manic symptom,12
Mastication disorder,14
Maxillofacial operation,2
Mean cell haemoglobin decreased,9
Measles antibody negative,2
Mediastinal mass,4
Medical device battery replacement,7
Medical device pain,8
Medical device site discomfort,1
Medical device site infection,15
Medical device site injury,5
Meibomian gland dysfunction,9
Meningitis fungal,1
Meningitis neonatal,4
Meniscus removal,1
Menometrorrhagia,19
Menstruation normal,4
Mental disability,15
Mental fatigue,14
Mephisto sign,1
Mesenteric haematoma,1
Mesenteric vascular occlusion,2
Metastases to adrenals,3
Metastases to biliary tract,2
Metastatic neoplasm,23
Metastatic squamous cell carcinoma,8
Microtia,3
Mineral supplementation,2
Mitochondrial myopathy,12
Mitral valve prolapse,20
Mitral valve repair,6
Monoclonal B-cell lymphocytosis,1
Mononucleosis syndrome,2
Moraxella test positive,1
Morbid thoughts,6
Morning sickness,15
Mouth breathing,2
Mucosal dryness,13
Multiple chemical sensitivity,5
Multiple sclerosis pseudo relapse,13
Muscle abscess,2
Muscle atrophy,49
Muscle contusion,13
Muscle discomfort,5
Muscle injury,11
Mycosis fungoides,6
Myelosuppression,24
Myocardial necrosis marker increased,5
Myocardial strain,1
Myoclonic dystonia,7
Myoglobinuria,29
Myopericarditis,6
Myopia,29
NSAID exacerbated respiratory disease,4
Nail bed bleeding,1
Nail discolouration,32
Nail hypertrophy,3
Nail pigmentation,2
Nasal inflammation,4
Nasal mucosal hypertrophy,1
Nasal oedema,4
Nasal polyps,33
Nasal pruritus,4
Nasal septum deviation,39
Nasal septum perforation,8
Nasal turbinate hypertrophy,7
Nasal valve collapse,1
Near drowning,4
Neck injury,15
Necrosis ischaemic,2
Necrotising fasciitis staphylococcal,2
Needle fatigue,9
Negativism,7
Neonatal respiratory distress,64
Nephrostomy,3
Nervous system cyst,1
Neurodegenerative disorder,11
Neuroma,4
Neuromyopathy,16
Neuropsychiatric symptoms,7
Neurosyphilis,2
Nikolsky's sign,19
Nipple disorder,4
Nipple exudate bloody,1
No therapeutic response,57
Nodal rhythm,11
Non-24-hour sleep-wake disorder,5
Non-Hodgkin's lymphoma stage III,2
Non-pitting oedema,2
Normal newborn,43
Norovirus infection,10
Nutritional condition abnormal,6
Obliterative bronchiolitis,7
Obsessive-compulsive personality disorder,3
Obstructive uropathy,5
Oedema due to cardiac disease,4
Oedematous pancreatitis,32
Oesophageal dilatation,5
Oesophageal hypomotility,10
Oesophageal injury,6
Oesophageal operation,6
Oesophageal perforation,4
Oesophageal rupture,7
Oesophagogastric fundoplasty,2
Oesophagogastroduodenoscopy,2
Oligomenorrhoea,28
Omphalitis,10
Oncologic complication,3
Ophthalmic artery occlusion,1
Opiates negative,2
Opiates positive,34
Optic disc haemorrhage,7
Oral pruritus,15
Oral viral infection,3
Orgasmic sensation decreased,44
Oromandibular dystonia,62
Oropharyngeal blistering,6
Orthodontic appliance user,3
Orthopaedic procedure,3
Orthostatic hypertension,11
Oscillopsia,18
Osteogenesis imperfecta,3
Osteolysis,6
Osteomyelitis chronic,1
Osteotomy,5
Ostomy bag placement,3
Ovarian adenoma,1
Ovarian cancer metastatic,9
Ovarian cancer recurrent,6
Ovarian cystectomy,1
Ovarian enlargement,3
Ovarian vein thrombosis,8
Oversensing,1
Oxygen therapy,13
Palliative care,18
Pancreatectomy,3
Pancreatic disorder,15
Pancreatic duct stenosis,1
Pancreatic enlargement,6
Panic disorder,36
Papilloma viral infection,28
Paranasal cyst,3
Paraparesis,6
Parapsoriasis,20
Parathyroid tumour benign,4
Parathyroidectomy,4
Parotitis,32
Partial seizures with secondary generalisation,3
Partner stress,6
Paternal exposure timing unspecified,2
Pathological gambling,21
Patient isolation,1
Pelvic abscess,9
Pelvic inflammatory disease,17
Pelvic neoplasm,1
Pelvic prolapse,6
Pemphigus,16
Penile burning sensation,4
Penile contusion,8
Penile haematoma,3
Penile pain,13
Penile prosthesis insertion,2
Penile size reduced,9
Penis disorder,21
Peptic ulcer,14
Performance fear,2
Perinatal depression,20
Perineal abscess,16
Perineal infection,3
Periodontal disease,6
Periorbital pain,26
Peripheral artery bypass,1
Peripheral venous disease,18
Peritoneal dialysis complication,3
Peritonsillar abscess,14
Persecutory delusion,50
Peyronie's disease,16
Pharyngeal erythema,6
Pharyngeal neoplasm,2
Philadelphia chromosome positive,4
Phimosis,18
Photosensitive seizure,2
Physical abuse,2
Physiotherapy,4
Piloerection,5
Pituitary tumour,24
Pityriasis rosea,5
Pityriasis rubra pilaris,4
Plantar fasciitis,26
Pneumobilia,3
Pneumonia respiratory syncytial viral,9
Pneumonia staphylococcal,21
Pneumothorax spontaneous,8
Polycystic ovarian syndrome,2
Polydipsia,31
Polymenorrhoea,18
Poor feeding infant,27
Poor personal hygiene,2
Poor quality device used,22
Porphyria acute,21
Portal shunt procedure,2
Positive airway pressure therapy,6
Post laminectomy syndrome,4
Post procedural discomfort,3
Post procedural haematoma,19
Post procedural inflammation,6
Post procedural pruritus,1
Post procedural pulmonary embolism,1
Post vaccination syndrome,1
Post-acute COVID-19 syndrome,12
Postictal state,17
Postmortem blood drug level abnormal,72
Postoperative adhesion,2
Postoperative thrombosis,4
Postpartum haemorrhage,13
Postural tremor,48
Posturing,4
Pregnancy of partner,9
Pregnancy with contraceptive device,23
Prehypertension,2
Premature ejaculation,29
Premature rupture of membranes,15
Premenstrual syndrome,16
Priapism,558
Procedural anxiety,4
Procedural headache,2
Proctitis bacterial,2
Product coating issue,5
Product container seal issue,7
Product counterfeit,13
Product design issue,5
Product dosage form confusion,7
Product dosage form issue,5
Product friable,4
Product identification number issue,1
Product leakage,15
Product monitoring error,43
Product name confusion,19
Product package associated injury,6
Product physical consistency issue,19
Product shape issue,8
Product substitution,10
Progressive multiple sclerosis,27
Prolactin-producing pituitary tumour,13
Prolonged labour,5
Prostate cancer stage IV,3
Prostatectomy,11
Prostatic disorder,28
Protein total abnormal,8
Protein total decreased,8
Protein urine present,24
Proteus infection,3
Pseudolymphoma,13
Pseudostroke,3
Psychiatric evaluation,9
Psychological trauma,9
Psychosomatic disease,2
Psychotic behaviour,8
Psychotic symptom,41
Pulmonary resection,2
Pulpitis dental,11
Pulse abnormal,5
Pupil fixed,8
Q fever,2
Rabies,1
Radial nerve compression,5
Radial nerve palsy,13
Radial pulse abnormal,1
Radioisotope scan abnormal,9
Radius fracture,16
Rapid eye movements sleep abnormal,21
Reaction to azo-dyes,2
Reaction to excipient,21
Rebound eczema,8
Recall phenomenon,5
Rectal spasm,4
Red blood cell count increased,11
Red blood cell sedimentation rate abnormal,5
Reduced facial expression,23
Reflexes abnormal,7
Reflux gastritis,11
Rehabilitation therapy,92
Relapsing multiple sclerosis,2
Relapsing-remitting multiple sclerosis,21
Removal of foreign body from throat,2
Renal atrophy,4
Renal cyst,32
Renal failure acute,24
Renal failure chronic,5
Renal hypertension,5
Renal neoplasm,13
Renal stone removal,6
Renal surgery,7
Renal vascular thrombosis,4
Respiratory tract infection bacterial,5
Restless arm syndrome,14
Retinal depigmentation,8
Retinal disorder,16
Retinal infarction,5
Retinal operation,11
Retinal vasculitis,13
Retinitis pigmentosa,7
Retinopathy hypertensive,4
Revascularisation procedure,1
Reversed hot-cold sensation,2
Rhabdoid tumour of the kidney,1
Rheumatoid factor positive,24
Rheumatoid lung,2
Rhinitis allergic,97
Right ventricular systolic pressure increased,5
Rocky mountain spotted fever,4
Rotavirus test positive,1
SARS-CoV-2 test,2
SARS-CoV-2 viraemia,2
SJS-TEN overlap,10
Saliva discolouration,12
Salivary gland cancer,14
Salivary gland operation,1
Salt craving,2
Scab,28
Schizoaffective disorder,27
Schwannoma,2
Scleroderma renal crisis,2
Seasonal affective disorder,12
Sebaceous gland disorder,1
Sebaceous gland infection,2
Sebaceous hyperplasia,2
Seborrhoea,8
Seborrhoeic keratosis,7
Secondary immunodeficiency,15
Secondary progressive multiple sclerosis,15
Seizure anoxic,4
Semen volume decreased,6
Seminoma,2
Sensation of foreign body,64
Sense of oppression,5
Sensitisation,52
Septic arthritis staphylococcal,5
Seroma,7
Serum ferritin decreased,15
Sexual activity increased,2
Sexual transmission of infection,1
Sexually inappropriate behaviour,42
Shock hypoglycaemic,2
Shoplifting,2
Short stature,4
Short-bowel syndrome,12
Shoulder fracture,13
Sialoadenitis,35
Single functional kidney,6
Sinonasal obstruction,1
Sinus arrhythmia,11
Skin graft,5
Skin hyperpigmentation,25
Skin induration,5
Skin injury,11
Skin operation,2
Skin plaque,30
Skin squamous cell carcinoma recurrent,5
Skin texture abnormal,3
Skin wound,14
Skull fracture,13
Skull fractured base,4
"Sleep disorder due to general medical condition, insomnia type",15
Sleep paralysis,54
Sleep study,3
Sleep talking,22
Sleep-related eating disorder,86
Sleeve gastrectomy,5
Small cell lung cancer,12
Small cell lung cancer metastatic,10
Small intestinal resection,9
Smear cervix abnormal,8
Social avoidant behaviour,28
Solar urticaria,2
Soliloquy,8
Specific gravity urine abnormal,13
Sperm concentration decreased,7
Sperm concentration zero,2
Spermatic cord disorder,3
Spider vein,2
Spinal column injury,11
Spinal cord herniation,3
Spinal implantation,1
Spinal laminectomy,13
Spinal nerve stimulator implantation,9
Spinal support,1
Spirometry abnormal,39
Splenic rupture,11
Spondylitic myelopathy,1
Spondyloarthropathy,10
Spontaneous ejaculation,25
Sputum purulent,10
Squamous cell carcinoma of lung,17
Squamous cell carcinoma of the tongue,5
Staring,10
Starvation,5
Status asthmaticus,4
Stoma site haemorrhage,22
Stoma site pain,6
Stomach mass,11
Streptococcal infection,33
Stress at work,8
Stress ulcer,1
Subcutaneous drug absorption impaired,5
Substance use disorder,9
Superficial vein thrombosis,16
Superinfection bacterial,5
Supine hypertension,5
Suppressed lactation,25
Surgical stapling,1
Suture insertion,4
Swan ganz catheter placement,1
Swelling of eyelid,44
Swollen joint count increased,3
Sympathomimetic effect,5
Symptom masked,13
Synovial disorder,2
Systemic candida,12
Systemic immune activation,11
Systemic lupus erythematosus rash,7
Systemic mycosis,7
Systemic viral infection,5
T-cell lymphoma stage IV,1
T-lymphocyte count decreased,8
T-lymphocyte count increased,8
Tachyarrhythmia,12
Tachyphrenia,69
Tangentiality,2
Tearfulness,104
Temperature regulation disorder,67
Tendon calcification,2
Tendon operation,2
Tendon sheath incision,4
Tenoplasty,6
Testicular germ cell tumour mixed,1
Testicular operation,1
Testicular swelling,4
Tethered cord syndrome,7
Therapeutic product effect increased,13
Therapeutic response delayed,8
Therapeutic response increased,5
Therapeutic response prolonged,4
Thirst decreased,4
Throat clearing,17
Thrombolysis,4
Thrombophlebitis superficial,42
Thrombosis in device,8
Thrombosis mesenteric vessel,1
Thyroid B-cell lymphoma,1
Thyroid cancer metastatic,6
Thyroid hormone replacement therapy,1
Thyroid hormones decreased,13
Thyroid neoplasm,11
Thyrotoxic crisis,20
Tic,172
Tick-borne viral encephalitis,4
Time perception altered,1
Tinea infection,6
Tinea pedis,10
Tissue injury,3
Tissue rupture,14
Tobacco user,4
Tongue biting,15
Tongue eruption,2
Tongue geographic,2
Tongue injury,3
Tongue pruritus,1
Tonsillar hypertrophy,4
Tooth discolouration,18
Tooth socket haemorrhage,5
Torticollis,148
Tourette's disorder,67
Toxic erythema of chemotherapy,2
Toxic leukoencephalopathy,5
Toxic optic neuropathy,7
Toxicologic test abnormal,22
Transcription medication error,25
Transient acantholytic dermatosis,3
Transient global amnesia,24
Transient psychosis,3
Transplant,4
Transplant failure,2
Transposition of the great vessels,8
Traumatic haematoma,5
Traumatic lung injury,4
Tremor neonatal,7
Trichorrhexis,6
Trichotillomania,22
Trisomy 21,9
Tumour marker increased,20
Ulna fracture,4
Unevaluable therapy,2
Unintended pregnancy,24
Unwanted awareness during anaesthesia,6
Upper respiratory tract infection bacterial,5
Ureteric obstruction,7
Urethral disorder,6
Urethral injury,1
Urethral obstruction,5
Urethritis noninfective,3
Urinary bladder suspension,3
Urinary control neurostimulator implantation,2
Urinary retention postoperative,2
Urinary tract infection fungal,6
Urine flow decreased,14
Urine output decreased,23
Urine output increased,11
Urine viscosity increased,1
Urticaria chronic,9
Uterine cervix hyperplasia,2
Uterine inflammation,1
Uterine pain,1
Uterine perforation,14
Uterine scar,1
Vaccination failure,13
Vaccination site erythema,4
Vaccination site haemorrhage,10
Vaccination site pain,1
Vaccination site paraesthesia,1
Vaccination site reaction,1
Vaginal cyst,4
Vaginal disorder,5
Vanishing bile duct syndrome,15
Varicella virus test positive,4
Varices oesophageal,11
Varicocele,1
Vascular access complication,9
Vascular access placement,2
Vascular occlusion,4
Vascular operation,4
Vascular stent occlusion,1
Vascular stent thrombosis,3
Vasectomy,4
Vasectomy reversal,1
Vasogenic cerebral oedema,5
Vasoplegia syndrome,36
Venous injury,2
Venous occlusion,7
Ventricular hypokinesia,10
Verbal abuse,3
Vertebrobasilar artery dissection,1
Vertebroplasty,2
Vessel perforation,2
Victim of sexual abuse,15
Violence-related symptom,13
Viral load,1
Viral pharyngitis,5
Viral test positive,2
Visual processing disorder,1
Visual snow syndrome,6
Visuospatial deficit,6
Vitamin B complex deficiency,17
Vitamin D abnormal,9
Vocal cord paralysis,12
Vomiting projectile,20
Vulvovaginal erythema,5
Waist circumference increased,13
Walled-off pancreatic necrosis,1
Water intoxication,9
Weight gain poor,12
White blood cell analysis abnormal,1
White blood cell count,4
Withdrawal hypertension,11
Wolff-Parkinson-White syndrome,4
Wound infection bacterial,1
Wrong dose,21
Wrong drug administered,15
Wrong product stored,3
Wrong schedule,7
Xerophthalmia,14
Yellow skin,6
Acquired epidermolysis bullosa,2
Acquired gene mutation,17
Acquired haemophilia,66
Action tremor,85
Acute vestibular syndrome,2
Alpha-1 anti-trypsin deficiency,15
Anoxia,17
Anti-transglutaminase antibody increased,9
Antipsychotic drug level,4
Babesiosis,5
Bacterial toxaemia,2
Binocular eye movement disorder,8
Blood creatine phosphokinase MM increased,1
Blood hyposmosis,20
Blood ketone body,1
Blood stem cell transplant failure,3
Blood thyroid stimulating hormone,3
Bronchopleural fistula,2
Cerebellar atrophy,35
Cholesterol granuloma,1
Coma neonatal,4
Comminuted fracture,8
Coronary ostial stenosis,1
Dental paraesthesia,5
Dermatophytosis,1
Dermo-hypodermitis,13
Drug-device interaction,24
Eosinophilic pneumonia acute,69
Eosinophilic pustular folliculitis,9
Epiglottic carcinoma,2
Fat tissue increased,9
Female sexual arousal disorder,8
Floppy iris syndrome,8
Gastrointestinal disorder postoperative,5
Glucocorticoid deficiency,5
Haematospermia,18
Henoch-Schonlein purpura,16
Hypoprothrombinaemia,4
Hyposmia,3
Immunoglobulins increased,5
Incision site vesicles,2
Intercepted drug prescribing error,5
Intraocular haematoma,1
JC virus infection,17
Large intestinal polypectomy,2
Laryngeal ulceration,2
Leukopenia neonatal,3
Ligament pain,3
Necrolytic migratory erythema,4
Necrotising colitis,4
Negative symptoms in schizophrenia,6
Neonatal respiratory depression,1
Neurologic neglect syndrome,3
Newborn persistent pulmonary hypertension,20
Non-cardiogenic pulmonary oedema,21
Obsessive-compulsive symptom,27
Pancreatic enzymes increased,6
Paralogism,3
Peripheral artery aneurysm,2
Remission not achieved,10
Renal cancer stage II,1
Retroplacental haematoma,14
Rheumatic fever,1
Salpingo-oophorectomy bilateral,2
Septal panniculitis,1
Serum serotonin increased,28
Skin fragility,6
Soft tissue swelling,2
Sudden infant death syndrome,1
Superficial spreading melanoma stage I,1
Susac's syndrome,1
Therapeutic embolisation,2
Toe operation,11
Transcranial magnetic stimulation,3
Vaginal neoplasm,2
Vascular purpura,43
Ventricular dysfunction,27
Ventricular septal defect,59
Argyria,1
Autoimmune myocarditis,3
Blood oestrogen increased,28
Conductive deafness,6
Dupuytren's contracture operation,2
Gallbladder abscess,3
Metamyelocyte count increased,1
Mouth injury,6
Moyamoya disease,2
Polymorphic light eruption,1
Achromotrichia acquired,3
Acrochordon excision,2
Adenoidal disorder,11
Administration site dryness,2
Adnexa uteri mass,25
Adverse event following immunisation,28
Alcoholic seizure,10
Amylase decreased,2
Angiotensin converting enzyme increased,5
Aortogram abnormal,1
Application site odour,2
Atypical mycobacterial infection,5
B-lymphocyte count increased,16
Bickerstaff's encephalitis,3
Biliary tract infection,8
Biopsy pharynx,1
Bladder cyst,13
Blastocystis infection,3
Blister rupture,9
Blood citric acid decreased,6
Blood immunoglobulin E increased,50
Blood mercury abnormal,4
Blood triglycerides decreased,4
Blood uric acid increased,88
Brain contusion,49
Burkitt's lymphoma,4
Calcium ionised increased,2
Candida sepsis,8
Cardiac pacemaker adjustment,2
Cataract traumatic,2
Cellulitis gangrenous,5
Central pain syndrome,12
Child-Pugh-Turcotte score increased,3
Choanal atresia,7
Chromophobe renal cell carcinoma,2
Chronic spontaneous urticaria,54
Colostomy closure,5
Coronary artery restenosis,2
Creutzfeldt-Jakob disease,27
Cubital tunnel syndrome,9
Cytotoxic cardiomyopathy,6
Delayed recovery from anaesthesia,23
Device use confusion,2
Diabetic dermopathy,2
Diffuse cutaneous mastocytosis,2
Disease prodromal stage,2
Diverticulitis oesophageal,1
Endometrial neoplasm,1
Epileptic encephalopathy,6
Eyelid margin crusting,19
Gallbladder cancer,5
Gamma-glutamyltransferase abnormal,2
Gastric cancer stage II,1
Gastritis fungal,2
Gastrointestinal angiodysplasia haemorrhagic,27
Gastrostomy tube site complication,6
Gender reassignment therapy,2
Hepatic haemorrhage,5
Hostility,26
Huntington's disease,18
Hyporesponsive to stimuli,21
Idiopathic angioedema,6
Induced abortion failed,1
Induced labour,9
Injection site oedema,11
Instillation site irritation,3
Intussusception,10
Joint space narrowing,2
Kaposi's sarcoma,3
Keratitis bacterial,2
Keratoacanthoma,11
Knee deformity,8
Language disorder,27
Lip infection,5
Mechanical urticaria,8
Mechanical ventilation,5
Megacolon,24
Microcephaly,22
Mite allergy,46
Muscle mass,5
Mycobacterial infection,8
Neuroendocrine carcinoma of the skin,12
Nodular regenerative hyperplasia,1
Non-high-density lipoprotein cholesterol increased,8
Oesophageal ulcer haemorrhage,6
Oral dysaesthesia,2
Paraganglion neoplasm,3
Parotid gland enlargement,4
Pharyngeal abscess,9
Physical examination abnormal,2
Plantar erythema,3
Plastic surgery,6
Pleural adhesion,1
Polycythaemia vera,17
Poor sucking reflex,51
Porphyria non-acute,7
Postprandial hypoglycaemia,12
Presbyacusis,12
Pudendal canal syndrome,2
Respiratory tract oedema,3
Salmonellosis,12
Scar pain,2
Self esteem decreased,7
Septic endocarditis,2
Somnolence neonatal,2
Spina bifida,7
Streptococcal bacteraemia,11
Supraventricular extrasystoles,16
Tongue haemorrhage,4
Troponin T increased,23
Urticaria physical,1
Uterine neoplasm,2
Vascular graft occlusion,1
Vestibulitis,1
Visceral congestion,4
Vitreoretinal traction syndrome,2
Vulval cancer,7
Weight decrease neonatal,1
5-hydroxyindolacetic acid in urine increased,1
ADAMTS13 activity decreased,13
Abdomen crushing,1
Abdominal wall anomaly,28
Abdominal wall haemorrhage,5
Abnormal labour,1
Abnormal palmar/plantar creases,18
Abortion incomplete,2
Abscess sweat gland,2
Accidental device ingestion,6
Acetonaemia,5
Acetonaemic vomiting,2
Acinetobacter bacteraemia,9
Acoustic neuroma,14
Acquired claw toe,5
Acquired factor VIII deficiency,1
Acquired haemoglobinopathy,1
Acquired porphyria,2
Acquired syringomyelia,2
Acquired thalassaemia,1
Acral lentiginous melanoma,5
Actinomycotic abdominal infection,2
"Acute encephalitis with refractory, repetitive partial seizures",7
Acute hepatitis B,17
Acute hepatitis C,13
Acute motor axonal neuropathy,30
Acute pulmonary histoplasmosis,6
Adenoidectomy,4
Adenoviral haemorrhagic cystitis,4
Adjusted calcium decreased,9
Administration site induration,1
Administration site infection,2
Adrenocorticotropic hormone deficiency,39
Adrenomegaly,21
Adult failure to thrive,11
Adulterated product,2
Agnosia,8
Albumin urine,1
Alcohol rehabilitation,4
Alcoholic liver disease,27
Allergy to venom,1
Alpha 1 foetoprotein abnormal,2
Alpha 1 globulin increased,37
Alpha tumour necrosis factor decreased,1
Altered pitch perception,1
Alveolar bone resorption,21
Alveolar lung disease,15
Amniotic fluid volume decreased,19
Anal erythema,4
Anal inflammation,6
Anal sphincter atony,20
Anal sphincter hypertonia,1
Analgesic drug level decreased,2
Anaplastic large cell lymphoma T- and null-cell types,3
Anaplastic meningioma,3
Angiogram cerebral abnormal,1
Angiogram peripheral abnormal,1
Angiokeratoma,2
Angiolymphoid hyperplasia with eosinophilia,1
Anisocytosis,7
Ankle brachial index abnormal,2
Anosognosia,22
Anterior chamber cleavage syndrome,4
Anti factor X activity increased,3
Anti-VGCC antibody positive,1
Anti-erythrocyte antibody positive,1
Antibody test,4
Anticoagulation drug level decreased,1
Anticonvulsant drug level abnormal,4
Anticonvulsant drug level below therapeutic,7
Antidepressant discontinuation syndrome,43
Antinuclear antibody negative,21
Antisocial personality disorder,17
Antisynthetase syndrome,3
Aortic bruit,10
Aortic intramural haematoma,3
Aortic perforation,2
Aortic rupture,4
Aortic valve calcification,18
Aortic valve prolapse,1
Aortic valve repair,2
Aortic valve thickening,6
Aplasia cutis congenita,13
Apocrine breast carcinoma,1
Appendiceal abscess,4
Application site laceration,3
Application site mass,2
Application site perspiration,25
Application site scab,4
Application site urticaria,4
Aquagenic pruritus,7
Arcus lipoides,3
Arm amputation,1
Arrhythmic storm,2
Arterial bypass operation,1
Arterial insufficiency,5
Arterial perforation,4
Arterial spasm,7
Arterial stenosis,46
Arteriovenous graft site haemorrhage,1
Arthroscopic surgery,5
Aspiration pleural cavity,27
Asthenospermia,1
Astrocytoma,26
Atheroembolism,7
Atopy,2
Atrial enlargement,6
Atrioventricular septal defect,36
Atrophy of globe,3
Attention-seeking behaviour,13
Atypical mycobacterium test positive,2
Auricular haematoma,4
Autoimmune dermatitis,3
Autoimmune encephalopathy,11
Autoimmune lymphoproliferative syndrome,1
Autoimmune nephritis,29
Autoimmune neuropathy,11
Axillary web syndrome,2
B-cell lymphoma recurrent,6
B-cell small lymphocytic lymphoma,6
B-lymphocyte abnormalities,9
B-lymphocyte count abnormal,8
BRAF gene mutation,2
Bacterial pericarditis,2
Bacterial pyelonephritis,6
Bandaemia,9
Bariatric gastric balloon insertion,1
Bartonella test positive,1
Basal ganglia haematoma,1
Basal ganglia infarction,17
Base excess increased,5
Basilar artery aneurysm,1
Basophil count abnormal,2
Benign familial haematuria,2
Benign hydatidiform mole,2
Benign neoplasm of spinal cord,5
Benign spleen tumour,2
Beta 2 microglobulin urine increased,2
Bile duct cancer,2
Bile duct stent insertion,3
Biliary cyst,1
Bilirubin conjugated abnormal,2
Bilirubin urine,2
Bilirubinuria,2
Binge drinking,10
Biochemical pregnancy,3
Biopsy skin,2
Bladder adenocarcinoma stage unspecified,4
Bladder obstruction,22
Bladder outlet obstruction,6
Bladder papilloma,1
Bladder transitional cell carcinoma stage III,1
Blast cell crisis,3
Blepharochalasis,2
Blood HIV RNA increased,24
Blood alcohol abnormal,4
Blood alcohol decreased,1
Blood brain barrier defect,1
Blood caffeine increased,4
Blood chloride abnormal,1
Blood cholinesterase decreased,14
Blood cortisol abnormal,6
Blood creatine phosphokinase abnormal,6
Blood creatine phosphokinase decreased,9
Blood fibrinogen abnormal,1
Blood folate decreased,42
Blood folate increased,6
Blood follicle stimulating hormone decreased,3
Blood growth hormone decreased,13
Blood homocysteine increased,6
Blood immunoglobulin E abnormal,9
Blood immunoglobulin G abnormal,6
Blood immunoglobulin G normal,1
Blood methanol increased,2
Blood pressure orthostatic decreased,12
Blood testosterone,1
Blood triglycerides abnormal,4
Bone fissure,12
Bone formation increased,2
Bone fragmentation,12
Bone infarction,1
Bone scan,1
Bone trimming,1
Borderline glaucoma,11
Breast atrophy,7
Breast cancer in situ,10
Breast cancer male,2
Breast cyst rupture,1
Breast fibroma,1
Breast proliferative changes,1
Breath holding,13
Breath sounds,2
Bronchial injury,2
Bronchial irritation,4
Bronchoalveolar lavage,2
Bronchomalacia,1
Bronchopulmonary dysplasia,37
Burning sensation mucosal,15
Bursa injury,2
C-reactive protein decreased,13
CAR T-cell-related encephalopathy syndrome,4
CSF glucose increased,11
CSF pressure,3
Caffeine consumption,2
Calcium metabolism disorder,3
Cancer fatigue,4
Candida test positive,3
Capillaritis,5
Carbon dioxide decreased,3
Carcinoid tumour of the prostate,6
Carcinoid tumour of the stomach,8
Cardiac failure high output,2
Cardiac function test abnormal,3
Cardiac neoplasm malignant,5
Cardiac valve sclerosis,1
Cardiac valve thickening,2
Cardioactive drug level above therapeutic,1
Cardiolipin antibody positive,1
Cardiovascular somatic symptom disorder,3
Carotid endarterectomy,7
Carpectomy,2
Cascade stomach,1
Cast application,3
Catheter site cellulitis,9
Cell marker increased,3
Cellulite,7
Cellulitis orbital,15
Cellulitis streptococcal,5
Central nervous system abscess,1
Central nervous system stimulation,11
Central nervous system viral infection,2
Cephalo-pelvic disproportion,27
Cerebral artery stenosis,22
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,3
Cerebral vascular occlusion,5
Cerebrovascular stenosis,7
Cervicitis,4
Cervicogenic headache,4
Cervix carcinoma recurrent,5
Cervix carcinoma stage II,1
Cervix neoplasm,1
Charles Bonnet syndrome,3
Chemotherapy toxicity attenuation,1
Chest wall haematoma,23
Chloropsia,5
Cholangitis acute,11
Cholelithotomy,3
Cholesteatoma,1
Chondrolysis,1
Chondroplasty,1
Chordee,13
Chorioretinal atrophy,3
Choroid melanoma,6
Choroidal haemorrhage,5
Chronic allograft nephropathy,5
Chronic hepatic failure,9
Chronic hepatitis,9
Chronic idiopathic pain syndrome,8
Chronic myelomonocytic leukaemia,13
Chronic respiratory disease,4
Chronic tic disorder,18
Citric acid urine decreased,1
Citrobacter infection,7
Clostridial infection,7
Clostridial sepsis,3
Clotting factor transfusion,1
Clubbing,20
Cochlea implant,6
Collagen disorder,9
Coloboma,11
Colonic pseudo-obstruction,22
Colonoscopy abnormal,9
Colpocleisis,1
Colposcopy abnormal,1
Coma blister,15
Coma hepatic,3
Combined pulmonary fibrosis and emphysema,1
