pt,no_events_global
Fracture displacement,19
Fractured sacrum,181
Fractured skull depressed,1
Fracture infection,17
Fracture malunion,11
Fracture nonunion,49
Fracture of penis,218
Fracture pain,81
Fracture reduction,1
Fracture treatment,24
Fragile X syndrome,4
Framingham risk score,1
Free fatty acids decreased,1
Free fatty acids increased,7
Free haemoglobin present,1
Free prostate-specific antigen,1
Free prostate-specific antigen decreased,3
Free prostate-specific antigen increased,7
Free prostate-specific antigen positive,3
Freezing phenomenon,365
Frenulum breve,3
Frequent bowel movements,3699
Friedreich's ataxia,1
Frigophobia,3
Frontal lobe epilepsy,18
Frontal sinus operation,1
Frontotemporal dementia,72
Frostbite,49
Fructosamine increased,3
Fructose intolerance,15
Frustration,292
Frustration tolerance decreased,1394
Fryns syndrome,1
Fuchs' syndrome,17
Fulguration,2
Full blood count,14
Full blood count abnormal,2513
Full blood count decreased,8107
Full blood count increased,459
Full blood count normal,5
Fulminant type 1 diabetes mellitus,665
Fumbling,19
Functional endoscopic sinus surgery,6
Functional gastrointestinal disorder,553
Functional residual capacity abnormal,1
Functional residual capacity decreased,3
Functional residual capacity increased,1
Fundoscopy,1
Fundoscopy abnormal,26
Fungaemia,291
Fungal abscess central nervous system,13
Fungal balanitis,2
Fungal cystitis,24
Fungal disease carrier,22
Fungal endocarditis,37
Fungal foot infection,81
Fungal infection,9758
Fungal labyrinthitis,1
Fungal myositis,5
Fungal oesophagitis,149
Fungal paronychia,1
Fungal peritonitis,332
Fungal pharyngitis,65
Fungal retinitis,1
Fungal rhinitis,14
Fungal sepsis,147
Fungal skin infection,972
Fungal test,1
Fungal test positive,43
Fungal tracheitis,6
Fungal urethritis,1
Fungating wound,18
Funguria,2
Funisitis,1
Furuncle,1858
Fusarium infection,122
Fusobacterium infection,8
Gadolinium deposition disease,97
Gait apraxia,3
Gait deviation,4
Gait disturbance,24606
Gait inability,5628
Gait spastic,18
Galactorrhoea,1348
Galactosaemia,4
Galactose intolerance,2
Galactostasis,4
Gallbladder abscess,10
Gallbladder adenocarcinoma,34
Gallbladder adenoma,1
Gallbladder adenosquamous carcinoma,1
Gallbladder agenesis,2
Gallbladder cancer,690
Gallbladder cancer metastatic,24
Gallbladder cancer recurrent,3
Gallbladder cancer stage 0,7
Gallbladder cancer stage I,10
Gallbladder cancer stage II,20
Gallbladder cancer stage III,11
Gallbladder cancer stage IV,67
Gallbladder cholesterolosis,4
Gallbladder disorder,3254
Gallbladder empyema,22
Gallbladder enlargement,85
Gallbladder fibrosis,1
Gallbladder fistula,4
Gallbladder haematoma,1
Gallbladder hyperfunction,6
Gallbladder hypofunction,29
Gallbladder injury,22
Gallbladder mass,1
Gallbladder mucocoele,2
Gallbladder necrosis,26
Gallbladder neoplasm,46
Gallbladder non-functioning,25
Gallbladder obstruction,62
Gallbladder oedema,8
Gallbladder operation,1237
Gallbladder pain,53
Gallbladder palpable,1
Gallbladder perforation,57
Gallbladder polyp,97
Gallbladder rupture,93
Gallstone ileus,6
Gambling,253
Gambling disorder,564
Gaming disorder,3
Gamma butyric dehydrogenase increased,1
Gamma-glutamyltransferase,7
Gamma-glutamyltransferase abnormal,41
Gamma-glutamyltransferase decreased,9
Gamma-glutamyltransferase increased,1848
Gamma radiation therapy,6
Gamma radiation therapy to brain,2
Gamma radiation therapy to prostate,1
Gammopathy,5
Ganglioglioma,19
Ganglioneuroblastoma,14
Ganglioneuroma,28
Gangrene,1283
Gardnerella infection,3
Gardnerella test positive,3
Gas gangrene,49
Gasping syndrome,6
Gas poisoning,12
Gastrectomy,409
Gastric adenoma,19
Gastric antral vascular ectasia,135
Gastric aspiration procedure,2
Gastric atony,5
Gastric banding,48
Gastric banding reversal,9
Gastric bypass,591
Gastric cancer,19785
Gastric cancer recurrent,42
Gastric cancer stage 0,103
Gastric cancer stage I,987
Gastric cancer stage II,659
Gastric cancer stage III,703
Gastric cancer stage IV,1603
Gastric cyst,27
Gastric dilatation,190
Gastric disorder,11275
Gastric dysplasia,18
Gastric emptying study,1
Gastric fistula,155
Gastric fistula repair,4
Gastric fluid analysis abnormal,1
Gastric haemorrhage,3153
Gastric hypermotility,9
Gastric hypertonia,3
Gastric hypomotility,21
Gastric ileus,5
Gastric infection,1118
Gastric ischaemia,10
Gastric lavage,11
Gastric leiomyoma,1
Gastric mucosa erythema,23
Gastric mucosal calcinosis,3
Gastric mucosal hypertrophy,47
Gastric mucosal lesion,140
Gastric neoplasm,184
Gastric neuroendocrine carcinoma,12
Gastric occult blood positive,5
Gastric operation,286
Gastric pacemaker insertion,1
Gastric perforation,928
Gastric pH decreased,120
Gastric pH increased,9
Gastric pneumatosis,19
Gastric polypectomy,4
Gastric polyps,383
Gastric prolapse,3
Gastric residual assessment,1
Gastric residual increased,4
Gastric sarcoma,9
Gastric stapling,1
Gastric stenosis,48
Gastric stent insertion,1
Gastric stent removal,1
Gastric tube reconstruction,1
Gastric ulcer,3934
Gastric ulcer haemorrhage,1728
"Gastric ulcer haemorrhage, obstructive",2
Gastric ulcer helicobacter,18
Gastric ulcer perforation,339
"Gastric ulcer perforation, obstructive",3
Gastric ulcer surgery,4
Gastric variceal ligation,1
Gastric varices,80
Gastric varices haemorrhage,113
Gastric volvulus,34
Gastric xanthoma,2
Gastrinoma,8
Gastrin-releasing peptide precursor increased,1
Gastrin secretion disorder,3
Gastritis,3686
Gastritis alcoholic,5
Gastritis alcoholic haemorrhagic,3
Gastritis bacterial,126
Gastritis erosive,655
Gastritis fungal,8
Gastritis haemorrhagic,575
Gastritis herpes,5
Gastritis hypertrophic,29
Gastritis viral,39
Gastrocardiac syndrome,1
Gastrocoele,2
Gastroduodenal haemorrhage,37
Gastroduodenal ulcer,107
Gastroduodenitis,17
Gastroduodenitis haemorrhagic,16
Gastroenteritis,2685
Gastroenteritis adenovirus,28
Gastroenteritis aeromonas,3
Gastroenteritis astroviral,8
Gastroenteritis bacillus,1
Gastroenteritis bacterial,60
Gastroenteritis clostridial,46
Gastroenteritis cryptosporidial,37
Gastroenteritis enteroviral,4
Gastroenteritis eosinophilic,106
Gastroenteritis Escherichia coli,96
Gastroenteritis listeria,4
Gastroenteritis norovirus,386
Gastroenteritis paracolon bacillus,1
Gastroenteritis proteus,3
Gastroenteritis pseudomonas,7
Gastroenteritis radiation,39
Gastroenteritis rotavirus,60
Gastroenteritis salmonella,203
Gastroenteritis sapovirus,15
Gastroenteritis shigella,6
Gastroenteritis staphylococcal,27
Gastroenteritis vibrio,3
Gastroenteritis viral,4330
Gastroenteritis yersinia,1
Gastroenteropancreatic neuroendocrine tumour disease,14
Gastroenterostomy,12
Gastrointestinal adenocarcinoma,13
Gastrointestinal amyloidosis,25
Gastrointestinal anastomotic complication,10
Gastrointestinal anastomotic haemorrhage,1
Gastrointestinal anastomotic leak,99
Gastrointestinal anastomotic stenosis,17
Gastrointestinal angiectasia,38
Gastrointestinal angiodysplasia,83
Gastrointestinal angiodysplasia haemorrhagic,139
Gastrointestinal arteriovenous malformation,46
Gastrointestinal bacterial infection,233
Gastrointestinal bacterial overgrowth,150
Gastrointestinal cancer metastatic,58
Gastrointestinal candidiasis,86
Gastrointestinal carcinoma,4383
Gastrointestinal carcinoma in situ,1
Gastrointestinal complication associated with device,6
Gastrointestinal dilation procedure,3
Gastrointestinal disorder,16368
Gastrointestinal disorder congenital,5
Gastrointestinal disorder postoperative,7
Gastrointestinal disorder therapy,4
Gastrointestinal dysplasia,24
Gastrointestinal endoscopic therapy,22
Gastrointestinal erosion,93
Gastrointestinal examination,4
Gastrointestinal examination abnormal,5
Gastrointestinal fistula,186
Gastrointestinal fungal infection,113
Gastrointestinal gangrene,2
Gastrointestinal haemorrhage,42314
Gastrointestinal hypermotility,43
Gastrointestinal hypomotility,185
Gastrointestinal infection,1815
Gastrointestinal inflammation,1228
Gastrointestinal injury,312
Gastrointestinal ischaemia,33
Gastrointestinal lymphoma,116
Gastrointestinal malformation,21
Gastrointestinal melanoma,20
Gastrointestinal melanosis,15
Gastrointestinal motility disorder,633
Gastrointestinal mucocoele,2
Gastrointestinal mucormycosis,40
Gastrointestinal mucosa hyperaemia,17
Gastrointestinal mucosal disorder,88
Gastrointestinal mucosal exfoliation,30
Gastrointestinal mucosal necrosis,46
Gastrointestinal necrosis,497
Gastrointestinal neoplasm,226
Gastrointestinal neuroendocrine carcinoma,4
Gastrointestinal obstruction,575
Gastrointestinal oedema,199
Gastrointestinal organ contusion,2
Gastrointestinal pain,1159
Gastrointestinal perforation,1477
Gastrointestinal polyp,76
Gastrointestinal polyp haemorrhage,242
Gastrointestinal procedural complication,53
Gastrointestinal protozoal infection,10
Gastrointestinal scan,1
Gastrointestinal scarring,124
Gastrointestinal somatic symptom disorder,2
Gastrointestinal sounds abnormal,332
Gastrointestinal stenosis,62
Gastrointestinal stoma complication,265
Gastrointestinal stoma necrosis,6
Gastrointestinal stoma output abnormal,20
Gastrointestinal stoma output decreased,19
Gastrointestinal stoma output increased,56
Gastrointestinal stromal cancer,17
Gastrointestinal stromal tumour,728
Gastrointestinal submucosal tumour,10
Gastrointestinal surgery,230
Gastrointestinal telangiectasia,1
Gastrointestinal toxicity,1205
Gastrointestinal tract adenoma,70
Gastrointestinal tract irritation,210
Gastrointestinal tract mucosal discolouration,19
Gastrointestinal tract mucosal pigmentation,103
Gastrointestinal tube insertion,693
Gastrointestinal tube removal,8
Gastrointestinal ulcer,330
Gastrointestinal ulcer haemorrhage,328
Gastrointestinal ulcer perforation,23
Gastrointestinal vascular malformation,8
Gastrointestinal vascular malformation haemorrhagic,212
Gastrointestinal viral infection,236
Gastrointestinal wall abnormal,2
Gastrointestinal wall thickening,118
Gastrointestinal wall thinning,7
Gastrolithiasis,9
Gastrooesophageal cancer,38
Gastrooesophageal heterotopia,2
Gastrooesophageal reflux disease,8850
Gastrooesophageal sphincter insufficiency,10
Gastroparesis postoperative,2
Gastroplasty,3
Gastropleural fistula,18
Gastroptosis,2
Gastrorrhaphy,3
Gastroschisis,41
Gastrosplenic fistula,15
Gastrostomy,508
Gastrostomy closure,3
Gastrostomy failure,6
Gastrostomy tube removal,12
Gastrostomy tube site complication,59
GATA2 deficiency,1
Gaucher's disease,14
Gaze palsy,209
Gelastic seizure,9
Gelatinous transformation of the bone marrow,8
Gender dysphoria,22
Gender identity disorder,1
Gender reassignment therapy,4
Gene mutation,484
Gene mutation identification test,4
Gene mutation identification test negative,4
Gene mutation identification test positive,78
General anaesthesia,25
Generalised anxiety disorder,119
Generalised bullous fixed drug eruption,110
Generalised erythema,827
Generalised non-convulsive epilepsy,1
Generalised oedema,1474
Generalised onset non-motor seizure,9
Generalised resistance to thyroid hormone,6
Generalised tonic-clonic seizure,4852
General physical condition,23
General physical condition abnormal,1177
General physical condition decreased,41
General physical condition normal,2
General physical health deterioration,16233
General symptom,1495
Genetic counselling,1
Genetic polymorphism,14
Genital abscess,80
Genital anaesthesia,33
Genital atrophy,13
Genital blister,62
Genital burning sensation,143
Genital cancer male,4
Genital candidiasis,46
Genital contusion,52
Genital cyst,15
Genital discharge,29
Genital discolouration,13
Genital discomfort,100
Genital disorder,23
Genital disorder female,38
Genital disorder male,18
Genital dysaesthesia,4
Genital erosion,21
Genital erythema,67
Genital exfoliation,1
Genital haemorrhage,2483
Genital herpes,359
Genital herpes simplex,66
Genital herpes zoster,23
Genital hyperaesthesia,2
Genital hypoaesthesia,88
Genitalia external ambiguous,14
Genital infection,104
Genital infection bacterial,24
Genital infection female,26
Genital infection fungal,431
Genital infection male,16
Genital infection viral,3
Genital injury,25
Genital labial adhesions,6
Genital labial operation,1
Genital lesion,50
Genital macule,1
Genital neoplasm malignant female,30
Genital odour,5
Genital pain,147
Genital paraesthesia,29
Genital prolapse,8
Genital rash,316
Genitals enlarged,2
Genital swelling,106
Genital tract inflammation,30
Genital ulceration,89
Genital ulcer syndrome,6
Genito-pelvic pain/penetration disorder,22
Genitourinary chlamydia infection,3
Genitourinary melanoma,5
Genitourinary operation,20
Genitourinary symptom,43
Genitourinary tract gonococcal infection,5
Genitourinary tract infection,44
Genitourinary tract neoplasm,26
Genotoxicity,6
Genotype drug resistance test,4
Genotype drug resistance test positive,348
Geotrichum infection,37
Germ cell cancer,34
Germ cell cancer metastatic,2
Germ cell neoplasm,6
Gerstmann's syndrome,2
Gestational diabetes,1246
Gestational hypertension,280
Gestational oedema,1
Gestational trophoblastic detachment,8
Gestational trophoblastic tumour,13
Gianotti-Crosti syndrome,8
Giant cell arteritis,177
Giant cell epulis,5
Giant cell myocarditis,6
Giant cell tumour of tendon sheath,10
Giant papillary conjunctivitis,16
Giardiasis,51
Gigantism,1
Gilbert's syndrome,84
Gingival abscess,183
Gingival atrophy,13
Gingival bleeding,2415
Gingival blister,76
Gingival cancer,47
Gingival cyst,20
Gingival discolouration,102
Gingival discomfort,128
Gingival disorder,647
Gingival erosion,27
Gingival erythema,120
Gingival graft,23
Gingival hyperpigmentation,14
Gingival hyperplasia,81
Gingival hypertrophy,567
Gingival hypoplasia,10
Gingival inflammation,8
Gingival injury,36
Gingival oedema,22
Gingival operation,56
Gingival pain,1074
Gingival polyp,1
Gingival pruritus,14
Gingival recession,286
Gingival swelling,610
Gingival ulceration,102
Gingivitis,1055
Gingivitis ulcerative,56
Gitelman's syndrome,36
Glabellar reflex abnormal,1
Glare,82
Glassy eyes,74
Glaucoma,4394
Glaucoma drainage device placement,13
Glaucoma surgery,57
Glaucomatocyclitic crises,2
Glaucomatous optic disc atrophy,8
Glaucomatous optic neuropathy,4
Glaucoma traumatic,1
Glioblastoma,629
Glioblastoma multiforme,245
Glioma,155
Gliomatosis cerebri,10
Glioneuronal tumour,36
Gliosarcoma,7
Gliosis,47
Globotriaosylceramide increased,30
Globotriaosylsphingosine increased,27
Globulins decreased,31
Globulins increased,15
Globulinuria,1
Globulin urine present,1
Glomerular filtration rate,13
Glomerular filtration rate abnormal,226
Glomerular filtration rate decreased,2027
Glomerular filtration rate increased,94
Glomerular vascular disorder,60
Glomerulonephritis,537
Glomerulonephritis acute,50
Glomerulonephritis chronic,28
Glomerulonephritis membranoproliferative,146
Glomerulonephritis membranous,380
Glomerulonephritis minimal lesion,245
Glomerulonephritis proliferative,66
Glomerulonephritis rapidly progressive,307
Glomerulonephropathy,83
Glomerulosclerosis,86
Glomus jugulare tumour,3
Glomus tumour,9
Glossectomy,10
Glossitis,550
Glossodynia,1895
Glossopharyngeal nerve disorder,10
Glossopharyngeal nerve paralysis,5
Glossopharyngeal neuralgia,6
Glossophobia,1
Glossoptosis,28
Glottis carcinoma,26
Glucagonoma,3
Glucocorticoid deficiency,87
Glucocorticoids decreased,2
Glucocorticoids increased,1
Glucose-6-phosphate dehydrogenase abnormal,3
Glucose-6-phosphate dehydrogenase deficiency,40
Glucose tolerance decreased,4
Glucose tolerance impaired,844
Glucose tolerance impaired in pregnancy,6
Glucose tolerance increased,2
Glucose tolerance test abnormal,9
Glucose urine,20
Glucose urine absent,2
Glucose urine present,162
Glutamate dehydrogenase increased,5
Glutathione decreased,7
Glutathione increased,1
Glutathione peroxidase increased,1
Glutathione s-transferase abnormal,1
Gluten free diet,2
Gluten sensitivity,412
Gluteoplasty,3
Gluteus medius syndrome,1
Glycated albumin increased,2
Glycocholic acid increased,1
Glycogenic acanthosis,3
Glycogen storage disease type I,1
Glycogen storage disease type II,8
Glycogen storage disease type IV,1
Glycogen storage disease type V,4
Glycogen storage disease type VIII,4
Glycogen storage disorder,7
Glycosuria,161
Glycosuria during pregnancy,2
Glycosylated haemoglobin,35
Glycosylated haemoglobin abnormal,281
Glycosylated haemoglobin decreased,434
Glycosylated haemoglobin increased,5004
GM2 gangliosidosis,1
Goitre,722
Goitre congenital,5
Gonadal dysgenesis,2
Gonadotrophin deficiency,3
Gonioscopy abnormal,4
Goniotomy,3
Gonococcal infection,42
Gonococcal pelvic inflammatory disease,1
Gonorrhoea,65
Goodpasture's syndrome,38
Good syndrome,1
Gorham's disease,1
Gout,4281
Gouty arthritis,165
Gouty tophus,61
Gradenigo's syndrome,6
Graft complication,67
Graft delamination,10
Graft haemorrhage,12
Graft infection,57
Graft ischaemia,1
Graft loss,262
Graft overgrowth,1
Graft thrombosis,26
Graft versus host disease,1676
Graft versus host disease in eye,36
Graft versus host disease in gastrointestinal tract,451
Graft versus host disease in liver,112
Graft versus host disease in lung,74
Graft versus host disease in skin,361
Graft versus host disease oral,3
Gram stain positive,18
Grandiosity,17
Granular cell tumour,14
Granulicatella bacteraemia,6
Granulicatella infection,7
Granulocyte-colony stimulating factor level decreased,2
Granulocyte count,1
Granulocyte count decreased,302
Granulocyte count increased,31
Granulocyte percentage increased,2
Granulocytes abnormal,38
Granulocytes maturation arrest,9
Granulocytopenia,1819
Granulocytopenia neonatal,1
Granulocytosis,38
Granuloma,572
Granuloma annulare,269
Granuloma inguinale,1
Granuloma skin,80
Granulomatosis with polyangiitis,281
Granulomatous dermatitis,119
Granulomatous liver disease,126
Granulomatous lymphadenitis,69
Granulomatous pneumonitis,31
Granulomatous rosacea,34
Granulomatous T-cell pseudolymphoma,1
Granulosa cell tumour of the testis,1
Graves' disease,78
Gravitational oedema,129
Gray matter heterotopia,1
Greater trochanteric pain syndrome,5
Grey matter heterotopia,2
Grey syndrome neonatal,4
Grief reaction,49
Grimacing,41
Grip strength,6
Grip strength decreased,712
Griscelli syndrome,1
Groin abscess,269
Groin infection,130
Groin pain,1003
Gross motor delay,20
Group B streptococcus neonatal sepsis,2
Growing pains,67
Growing teratoma syndrome,14
Growth accelerated,51
Growth disorder,61
Growth failure,103
Growth hormone deficiency,133
Growth hormone-producing pituitary tumour,3
Growth of eyelashes,198
Growth retardation,604
Grunting,29
Guillain-Barre syndrome,1530
Gulf war syndrome,2
Gun shot wound,171
Gut fermentation syndrome,9
Guttate psoriasis,222
Gynaecological chlamydia infection,17
Gynaecological disorder prophylaxis,2
Gynaecological examination abnormal,8
Gynaecomastia,8487
H1N1 influenza,264
H3N2 influenza,3
Habit cough,2
Habitual abortion,16
Haemangioblastoma,23
Haemangioma,272
Haemangioma congenital,60
Haemangioma embolisation,1
Haemangioma of bone,21
Haemangioma of breast,1
Haemangioma of liver,113
Haemangioma of retina,3
Haemangioma of skin,65
Haemangioma of spleen,6
Haemangioma removal,1
Haemangioma rupture,2
Haemangioma-thrombocytopenia syndrome,2
Haemangiopericytoma,7
Haemangiopericytoma of meninges,1
Haemarthrosis,4813
Haematemesis,4036
Haematidrosis,2
Haematinuria,6
Haematochezia,8826
Haematocoele,6
Haematocoele female,2
Haematocolpos,6
Haematocrit,5
Haematocrit abnormal,249
Haematocrit decreased,1463
Haematocrit increased,461
Haematocrit normal,1
Haematological infection,277
Haematological malignancy,1772
Haematological neoplasm,9
Haematology test abnormal,57
Haematoma,5260
Haematoma evacuation,46
Haematoma infection,99
Haematoma muscle,366
Haematopoietic neoplasm,64
Haematopoietic stem cell mobilisation,10
Haematosalpinx,7
Haematospermia,216
Haematotoxicity,2814
Haematotympanum,15
Haematuria,8360
Haematuria traumatic,15
Haemobilia,87
Haemochromatosis,130
Haemoconcentration,11
Haemodialysis,1063
Haemodialysis complication,29
Haemodialysis-induced symptom,1
Haemodilution,6
Haemodynamic instability,721
Haemodynamic rebound,1
Haemodynamic test abnormal,3
Haemofiltration,28
Haemoglobin,19
Haemoglobin A2,1
Haemoglobin abnormal,1190
Haemoglobinaemia,43
Haemoglobin Barts present,1
Haemoglobin decreased,14497
Haemoglobin E disease,3
Haemoglobin electrophoresis abnormal,1
Haemoglobin increased,634
Haemoglobinopathy,5
Haemoglobin S,1
Haemoglobin S decreased,2
Haemoglobin S increased,2
Haemoglobinuria,81
Haemoglobin urine,1
Haemoglobin urine present,4
Haemolysis,1456
Haemolysis neonatal,2
Haemolytic anaemia,2607
Haemolytic transfusion reaction,14
Haemolytic uraemic syndrome,568
Haemoperfusion,1
Haemoperitoneum,172
Haemophagocytic lymphohistiocytosis,1798
Haemophilia,51
Haemophilia A with anti factor VIII,1
Haemophilia carrier,1
Haemophilic arthropathy,73
Haemophilic pseudotumour,5
Haemophilus bacteraemia,12
Haemophilus infection,169
Haemophilus sepsis,16
Haemophilus test positive,12
Haemophobia,2
Haemoptysis,5913
Haemorrhage,29483
Haemorrhage coronary artery,7
Haemorrhage foetal,6
Haemorrhage in pregnancy,224
Haemorrhage intracranial,5782
Haemorrhage neonatal,2
Haemorrhage subcutaneous,960
Haemorrhage subepidermal,3
Haemorrhage urinary tract,521
Haemorrhagic adrenal infarction,1
Haemorrhagic anaemia,861
Haemorrhagic arteriovenous malformation,643
Haemorrhagic ascites,38
Haemorrhagic cerebellar infarction,7
Haemorrhagic cerebral infarction,175
Haemorrhagic cholecystitis,37
Haemorrhagic cyst,75
Haemorrhagic diathesis,639
Haemorrhagic disease of newborn,1
Haemorrhagic disorder,213
Haemorrhagic erosive gastritis,114
Haemorrhagic fever,8
Haemorrhagic fever with renal syndrome,4
Haemorrhagic gastroenteritis,2
Haemorrhagic hepatic cyst,41
Haemorrhagic infarction,125
Haemorrhagic necrotic pancreatitis,36
Haemorrhagic occlusive retinal vasculitis,19
Haemorrhagic ovarian cyst,128
Haemorrhagic pneumonia,10
Haemorrhagic stroke,3115
Haemorrhagic thyroid cyst,5
Haemorrhagic transformation stroke,663
Haemorrhagic tumour necrosis,12
Haemorrhagic urticaria,6
Haemorrhagic varicella syndrome,3
Haemorrhagic vasculitis,53
Haemorrhoidal haemorrhage,1118
Haemorrhoid infection,15
Haemorrhoid operation,67
Haemorrhoids,1812
Haemorrhoids thrombosed,65
Haemosiderin stain,59
Haemosiderinuria,1
Haemosiderosis,37
Haemostasis,20
Haemothorax,748
Hair colour changes,1930
Hair disorder,736
Hair dye user,1
Hair follicle tumour benign,57
Hair growth abnormal,1885
Hair growth rate abnormal,42
Hair injury,73
Hair metal test,3
Hair metal test abnormal,4
Hair texture abnormal,1907
Hair transplant,6
Hairy cell leukaemia,65
Hairy cell leukaemia recurrent,12
Hallucination,12857
"Hallucination, auditory",2467
"Hallucination, olfactory",62
"Hallucinations, mixed",672
"Hallucination, synaesthetic",16
"Hallucination, tactile",102
"Hallucination, visual",3260
Halo vision,149
Hamartoma,12
Hand amputation,20
Hand deformity,697
Hand dermatitis,110
Hand-eye coordination impaired,18
Hand-foot-and-mouth disease,192
Hand-foot-genital syndrome,5
Hand fracture,1168
Hand repair operation,11
Hanging,27
Hangnail,40
Hangover,625
Hantaviral infection,3
Hantavirus pulmonary infection,2
Haptoglobin abnormal,7
Haptoglobin decreased,37
Haptoglobin increased,2
Harlequin skin reaction,6
Harlequin syndrome,16
Hashimoto's encephalopathy,18
Hashitoxicosis,8
HBV-DNA polymerase increased,7
HCoV-229E infection,1
HCoV-HKU1 infection,2
HCoV-NL63 infection,1
HCoV-OC43 infection,7
Headache,106235
Head and neck cancer,262
Head and neck cancer metastatic,15
Head and neck cancer stage I,4
Head and neck cancer stage II,3
Head and neck cancer stage III,8
Head and neck cancer stage IV,18
Head banging,49
Head circumference abnormal,17
Head deformity,23
Head discomfort,2127
Head injury,2576
Head lag,1
Head titubation,174
Hearing aid therapy,1
Hearing aid user,121
Hearing disability,92
Hearing impaired,805
Heart alternation,15
Heart and lung transplant,29
Heart block congenital,9
Heart disease congenital,291
Heart injury,151
Heartland virus infection,4
Heart-lung transplant rejection,2
Heart rate,45
Heart rate abnormal,674
Heart rate decreased,4975
Heart rate increased,9978
Heart rate irregular,2480
Heart rate normal,1
Heart rate variability decreased,6
Heart rate variability increased,6
Heart sounds,1
Heart sounds abnormal,38
Heart sounds normal,1
Heart transplant,380
Heart transplant failure,3
Heart transplant rejection,323
Heart valve calcification,35
Heart valve incompetence,410
Heart valve operation,130
Heart valve replacement,398
Heart valve stenosis,59
Heat cramps,5
Heat exhaustion,129
Heat illness,174
Heat oedema,8
Heat stroke,348
Heavy chain disease,11
Heavy exposure to ultraviolet light,43
Heavy menstrual bleeding,1526
Heavy metal increased,2
Heerfordt's syndrome,1
Helicobacter duodenal ulcer,1
Helicobacter duodenitis,3
Helicobacter gastritis,163
Helicobacter infection,930
Helicobacter sepsis,6
Helicobacter test false negative,8
Helicobacter test positive,40
Heliotrope rash,1
HELLP syndrome,99
Helminthic infection,72
Helplessness,26
Hemianaesthesia,211
Hemianopia,83
Hemianopia heteronymous,6
Hemianopia homonymous,68
Hemiataxia,3
Hemidysaesthesia,1
Hemihyperaesthesia,1
Hemihypertrophy,1
Hemihypoaesthesia,53
Hemimegalencephaly,2
Hemiparaesthesia,87
Hemiparesis,1528
Hemiplegia,835
Hemiplegic migraine,82
Hemivertebra,14
Henoch-Schonlein purpura,682
Henoch-Schonlein purpura nephritis,27
Heparin-induced thrombocytopenia,959
Heparin-induced thrombocytopenia test,2
Heparin-induced thrombocytopenia test positive,24
Heparin resistance,29
Hepatectomy,60
Hepatic adenoma,172
Hepatic amoebiasis,25
Hepatic amyloidosis,5
Hepatic angiosarcoma,21
Hepatic arteriovenous malformation,4
Hepatic artery aneurysm,11
Hepatic artery embolism,5
Hepatic artery flow decreased,1
Hepatic artery occlusion,13
Hepatic artery stenosis,20
Hepatic artery thrombosis,57
Hepatic atrophy,126
Hepatic calcification,13
Hepatic cancer,15613
Hepatic cancer metastatic,223
Hepatic cancer recurrent,146
Hepatic cancer stage I,347
Hepatic cancer stage II,309
Hepatic cancer stage III,352
Hepatic cancer stage IV,2278
Hepatic candidiasis,9
Hepatic cirrhosis,3996
Hepatic congestion,42
Hepatic cyst,340
Hepatic cyst infection,50
Hepatic cyst ruptured,7
Hepatic cytolysis,3413
Hepatic displacement,1
Hepatic dysplasia,4
Hepatic echinococciasis,12
Hepatic embolisation,21
Hepatic encephalopathy,2005
Hepatic enzyme,4
Hepatic enzyme abnormal,1153
Hepatic enzyme decreased,112
Hepatic enzyme increased,14808
Hepatic failure,6268
Hepatic fibrosis,545
Hepatic fibrosis marker abnormal,1
Hepatic function abnormal,9435
Hepatic gas gangrene,1
Hepatic haemangioma rupture,5
Hepatic haematoma,73
Hepatic haemorrhage,189
Hepatic hydrothorax,11
Hepatic hypertrophy,5
Hepatic infarction,62
Hepatic infection,418
Hepatic infection bacterial,14
Hepatic infection fungal,10
Hepatic infiltration eosinophilic,11
Hepatic ischaemia,22
Hepatic lesion,576
Hepatic lymphocytic infiltration,2
Hepatic mass,323
Hepatic necrosis,289
Hepatic neoplasm,659
Hepatic neoplasm removal,1
Hepatic neuroendocrine tumour,7
Hepatic pain,486
Hepatic perfusion disorder,1
Hepatic rupture,46
Hepatic siderosis,10
Hepatic steato-fibrosis,12
Hepatic steatosis,2044
Hepatic vascular disorder,3
Hepatic vascular resistance increased,1
Hepatic vascular thrombosis,45
Hepatic vein dilatation,1
Hepatic vein embolism,4
Hepatic vein occlusion,29
Hepatic vein stenosis,4
Hepatic vein thrombosis,67
Hepatitis,6119
Hepatitis A,228
Hepatitis A antibody,1
Hepatitis A antibody abnormal,1
Hepatitis A antibody positive,15
Hepatitis A antigen positive,1
Hepatitis acute,1786
Hepatitis alcoholic,37
Hepatitis A virus test positive,27
Hepatitis B,1798
Hepatitis B antibody,4
Hepatitis B antibody abnormal,15
Hepatitis B antibody negative,7
Hepatitis B antibody positive,38
Hepatitis B antigen positive,4
Hepatitis B core antibody,3
Hepatitis B core antibody positive,113
Hepatitis B core antigen positive,12
Hepatitis B DNA assay positive,35
Hepatitis B DNA decreased,2
Hepatitis B DNA increased,185
Hepatitis B reactivation,1588
Hepatitis B surface antibody,2
Hepatitis B surface antibody negative,4
Hepatitis B surface antibody positive,50
Hepatitis B surface antigen,5
Hepatitis B surface antigen negative,2
Hepatitis B surface antigen positive,46
Hepatitis B test negative,1
Hepatitis B virus test positive,172
Hepatitis C,2691
Hepatitis C antibody,6
Hepatitis C antibody positive,40
